reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2025 (USD Thousand)
566,Nigeria,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",32998723
566,Nigeria,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3923833
566,Nigeria,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3811497
566,Nigeria,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3744393
566,Nigeria,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3536306
566,Nigeria,360,Indonesia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2446561
566,Nigeria,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1824761
566,Nigeria,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1622943
566,Nigeria,124,Canada,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1551107
566,Nigeria,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1538338
566,Nigeria,384,Côte d'Ivoire,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1499385
566,Nigeria,710,South Africa,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1486811
566,Nigeria,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",911521
566,Nigeria,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",617233
566,Nigeria,604,Peru,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",616333
566,Nigeria,757,Switzerland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",588591
566,Nigeria,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",582324
566,Nigeria,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",534951
566,Nigeria,620,Portugal,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",533102
566,Nigeria,858,Uruguay,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",385082
566,Nigeria,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",325719
566,Nigeria,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",263556
566,Nigeria,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",199248
566,Nigeria,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",139246
566,Nigeria,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",105797
566,Nigeria,688,Serbia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",89959
566,Nigeria,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",73539
566,Nigeria,579,Norway,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",46587
