reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
643,Russian Federation,000,World,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",147484153,117214010,123511939,97928775
643,Russian Federation,156,China,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",58377524,60081693,62278636,49039766
643,Russian Federation,699,India,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",25534777,44722551,52206604,43433942
643,Russian Federation,703,Slovakia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2812118,2101680,2129188,2275375
643,Russian Federation,348,Hungary,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2724777,2236157,2444585,1935496
643,Russian Federation,031,Azerbaijan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",131353,729264,906539,698758
643,Russian Federation,203,Czech Republic,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2296630,2047901,1583541,295685
643,Russian Federation,076,Brazil,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,191087,72328,119837
643,Russian Federation,268,Georgia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",475,3609,5844,95848
643,Russian Federation,392,Japan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1334693,49400,0,33976
643,Russian Federation,398,Kazakhstan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",305,10730,0,92
643,Russian Federation,036,Australia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",225522,0,0,0
643,Russian Federation,040,Austria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",65270,6048,0,0
643,Russian Federation,056,Belgium,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",4656,0,0,0
643,Russian Federation,100,Bulgaria,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",3459297,2707770,0,0
643,Russian Federation,208,Denmark,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",66053,0,0,0
643,Russian Federation,246,Finland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1021689,0,0,0
643,Russian Federation,251,France,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1686455,0,0,0
643,Russian Federation,276,Germany,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",13313857,44095,7467,0
643,Russian Federation,300,Greece,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",242808,0,0,0
643,Russian Federation,381,Italy,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",7241065,0,0,0
643,Russian Federation,410,"Korea, Republic of",2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2314472,0,0,0
643,Russian Federation,417,Kyrgyzstan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2205,2995,0,0
643,Russian Federation,440,Lithuania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",753713,0,0,0
643,Russian Federation,454,Malawi,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,2,0,0
643,Russian Federation,458,Malaysia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",198486,0,48566,0
643,Russian Federation,496,Mongolia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,5677,9361,0
643,Russian Federation,528,Netherlands,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",10577157,455601,674359,0
643,Russian Federation,586,Pakistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,47964,0,0
643,Russian Federation,616,Poland,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",6504428,390766,0,0
643,Russian Federation,642,Romania,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",2994306,0,0,0
643,Russian Federation,688,Serbia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",1069338,220,0,0
643,Russian Federation,702,Singapore,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",99639,126516,0,0
643,Russian Federation,724,Spain,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",404798,0,0,0
643,Russian Federation,752,Sweden,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",208116,0,0,0
643,Russian Federation,764,Thailand,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",278778,0,0,0
643,Russian Federation,826,United Kingdom,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",502658,0,0,0
643,Russian Federation,842,United States of America,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",521647,760,0,0
643,Russian Federation,051,Armenia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,285,
643,Russian Federation,096,Brunei Darussalam,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",223763,239331,825495,
643,Russian Federation,144,Sri Lanka,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",232519,81506,0,
643,Russian Federation,288,Ghana,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",161,71207,0,
643,Russian Federation,512,Oman,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,63098,0,
643,Russian Federation,762,Tajikistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",81,0,0,
643,Russian Federation,784,United Arab Emirates,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,249953,36164,
643,Russian Federation,788,Tunisia,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",0,279007,0,
643,Russian Federation,860,Uzbekistan,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",58564,267422,282977,
